id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,characters,director
tm84618,"['taxi', 'driver']",MOVIE,"['mentally', 'unstable', 'vietnam', 'war', 'veteran', 'work', 'nighttime', 'taxi', 'driver', 'new', 'york', 'city', 'perceived', 'decadence', 'sleaze', 'feed', 'urge', 'violent', 'action']",OLD,4.0,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582.0,40.965,8.179,"['robert de niro', 'jodie foster', 'albert brooks', 'harvey keitel', 'cybill shepherd', 'peter boyle', 'leonard harris', 'diahnne abbott', 'gino ardito', 'martin scorsese', 'murray moston', 'richard higgs', 'bill minkin', 'bob maroff', 'victor argo', 'joe spinell', 'robinson frank adu', 'brenda dickson', 'norman matlock', 'harry northup', 'harlan cary poe', 'steven prince', 'peter savage', 'nicholas shields', 'ralph s singleton', 'annie gagen', 'carson grant', 'marypat green', 'debbi morgan', 'don stroud', 'copper cunningham', 'garth avery', 'nat grant', 'billie perkins', 'catherine scorsese', 'charles scorsese']","['travis bickle', 'iris steensma', 'tom', 'matthew sport higgins', 'betsy', 'wizard', 'senator charles palantine', 'concession girl', 'policeman at rally', 'passenger watching silhouette', 'iris time keeper', 'secret service agent', 'toms assistant uncredited', 'mafioso uncredited', 'melio delicatessen owner', 'personell officer', 'angry black man uncredited', 'soap opera woman uncredited', 'charlie t', 'doughboy', 'campaign worker uncredited', 'andy  gun salesman', 'the john', 'palantines aide uncredited', 'tv interviewer uncredited', 'campaign worker uncredited', 'political rallier uncredited', 'campaign aide uncredited', 'girl at columbus circle uncredited', 'policeman uncredited', 'hooker in cab', 'iris friend', 'stickaup man', 'iris friend uncredited', 'iris mother newspaper article uncredited', 'iris father newspaper article uncredited']",['martin scorsese']
tm154986,['deliverance'],MOVIE,"['intent', 'seeing', 'cahulawassee', 'river', 'turned', 'one', 'huge', 'lake', 'outdoor', 'fanatic', 'lewis', 'medlock', 'take', 'friend', 'riverrafting', 'trip', 'theyll', 'never', 'forget', 'dangerous', 'american', 'backcountry']",OLD,4.0,109,"['drama', 'action', 'thriller', 'european']",['US'],,tt0068473,7.7,107673.0,10.01,7.3,"['jon voight', 'burt reynolds', 'ned beatty', 'ronny cox', 'ed ramey', 'billy redden', 'seamon glass', 'randall deal', 'bill mckinney', 'herbert cowboy coward', 'lewis crone', 'ken keener', 'johnny popwell', 'john fowler', 'kathy rickman', 'louise coldren', 'pete ware', 'james dickey', 'macon mccalman', 'hoyt pollard', 'belinda beatty', 'charley boorman']","['ed gentry', 'lewis medlock', 'bobby trippe', 'drew ballinger', 'old man at the gasstation', 'lonnie  the banjo boy', 'first griner', 'second griner', 'mountain man', 'toothless man', 'first deputy', 'second deputy', 'ambulance driver', 'doctor', 'nurse', 'mrs biddiford', 'taxi driver', 'sheriff bullard', 'deputy queen', 'boy at gas station', 'martha gentry', 'eds boy']",['john boorman']
tm127384,"['monty', 'python', 'holy', 'grail']",MOVIE,"['king', 'arthur', 'accompanied', 'squire', 'recruit', 'knight', 'round', 'table', 'including', 'sir', 'bedevere', 'wise', 'lancelot', 'brave', 'robin', 'notquitesobraveassirlancelot', 'galahad', 'pure', 'way', 'battle', 'black', 'despite', 'limb', 'chopped', 'insists', 'still', 'fight', 'reach', 'camelot', 'decides', 'enter', 'silly', 'place']",OLD,2.0,91,"['fantasy', 'action', 'comedy']",['GB'],,tt0071853,8.2,534486.0,15.461,7.811,"['graham chapman', 'john cleese', 'eric idle', 'terry gilliam', 'terry jones', 'michael palin', 'connie booth', 'carol cleveland', 'neil innes', 'bee duffell', 'john young', 'rita davies', 'avril stewart', 'sally kinghorn', 'mark zycon', 'elspeth cameron', 'mitsuko forstater', 'sandy johnson', 'sandy rose', 'romilly squire', 'joni flynn', 'alison walker', 'loraine ward', 'anna lanski', 'sally coombe', 'vivienne macdonald', 'yvonne dick', 'daphne darling', 'fiona gordon', 'judy lamb', 'tracy sneddon', 'joyce pollner', 'mary allen', 'gloria graham', 'sylvia taylor', 'julian doyle', 'margarita doyle', 'zack matalon', 'scott mike', 'william palin', 'terry jones', 'tom raeburn', 'brian ross', 'roy forge smith', 'john thornton', 'maggie weston']","['king arthur  voice of god  middle head  hiccoughing guard', 'second swallowsavvy guard  the black knight  peasant 3  sir launcelot the brave  taunting french guard  tim the enchanter', 'dead collector  peasant 1  sir robin the notquitesobraveassir launcelot  first swamp castle guard  concorde  roger the shrubber  brother maynard', 'patsy  green knight  old man from scene 24 bridgekeeper  sir bors  animator  gorilla hand', 'denniss mother  sir bedevere  left head  prince herbert  voice of cartoon scribe', 'first swallowsavvy guard  dennis  peasant 2  right head  sir galahad the pure  narrator  king of swamp castle  brother maynards brother  leader of the knights who say ni', 'the witch', 'zoot  dingo', 'first monk  singing minstrel  page crushed by the rabbit  peasant 4', 'old crone', 'dead body  historian frank', 'historians wife', 'dr piglet', 'dr winston', 'prisoner', 'girl in castle anthrax', 'girl in castle anthrax', 'knight of ni  villager at witch burning  musician at wedding  monk  knight in battle', 'girl in castle anthrax', 'musician at wedding  villager at witch burning', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'girl in castle anthrax', 'police sergeant uncredited', 'peasant uncredited', 'guard who falls into barrels uncredited', 'bash mudfighter uncredited', 'sir notappearinginthisfilm uncredited', 'themselves uncredited', 'guard eating apple uncredited', 'biff mudfighter uncredited', 'inspector end of film uncredited', 'dancing knight uncredited', 'pageturner uncredited']","['terry jones', 'terry gilliam']"
tm120801,"['dirty', 'dozen']",MOVIE,"['12', 'american', 'military', 'prisoner', 'world', 'war', 'ii', 'ordered', 'infiltrate', 'wellguarded', 'enemy', 'chteau', 'kill', 'nazi', 'officer', 'vacationing', 'soldier', 'facing', 'death', 'sentence', 'variety', 'violent', 'crime', 'agree', 'mission', 'possible', 'commuting', 'sentence']",OLD,2.5,150,"['war', 'action']","['GB', 'US']",,tt0061578,7.7,72662.0,20.398,7.6,"['lee marvin', 'ernest borgnine', 'charles bronson', 'jim brown', 'john cassavetes', 'richard jaeckel', 'george kennedy', 'trini lpez', 'ralph meeker', 'robert ryan', 'telly savalas', 'donald sutherland', 'clint walker', 'robert webber', 'tom busby', 'ben carruthers', 'stuart cooper', 'robert phillips', 'colin maitland', 'al mancini', 'george roubicek', 'thick wilson', 'dora reisser', 'michael anthony', 'leo britt', 'alan chuntz', 'gary files', 'judith furse', 'hal galili', 'romo gorrara', 'willoughby gray', 'gerard heinz', 'john g heller', 'george hilsdon', 'john hollis', 'alf joint', 'juba kennerley', 'hildegard knef', 'ann lancaster', 'richard marner', 'dick miller', 'lionel murton', 'suzanne owensduval', 'mike reid', 'terry richards', 'frederick schiller', 'richard shaw', 'warren stanhope', 'hedger wallace', 'theodore wilhelm', 'rocky taylor', 'burnell tucker', 'vicki woolf', 'michael segal']","['maj john reisman', 'maj gen worden', 'joseph wladislaw', 'robert jefferson', 'victor franko', 'sergeant bowren', 'major max armbruster', 'pedro jiminez', 'captain stuart kinder', 'col everett dasher breed', 'archer maggott', 'vernon pinkley', 'samson posey', 'general denton', 'milo vladek', 'glenn gilpin', 'roscoe lever', 'cpl morgan  mp guard', 'seth sawyer', 'tassos bravos', 'pvt arthur james gardner', 'gen wordens aide', 'german officers girl', 'german officer in staff car uncredited', 'german general in staff car uncredited', 'french servant uncredited', 'ambulance driver uncredited', 'drunken generals wife uncredited', 'mp master sergeant  hangman uncredited', 'airborne soldier uncredited', 'german officer uncredited', 'cardplaying german officer uncredited', '2nd german sentry at chateau uncredited', 'medical officer at hanging uncredited', 'german porter at chateau uncredited', 'german sentry wanting light uncredited', 'german officer uncredited', 'uncredited', 'prostitute uncredited', 'german sentry at chateau uncredited', 'mp at hanging uncredited', 'mp lt col in charge at hanging uncredited', 'prostitute uncredited', 'sergeant at war games hq uncredited', 'blake uncredited', 'drunken german general uncredited', 'german officer who seals the bunker uncredited', 'german officer uncredited', 'german officer uncredited', 'german officer uncredited', 'airborne soldier uncredited', 'army doctor uncredited', 'prostitute uncredited', 'airborne band conductor uncredited']",['robert aldrich']
tm70993,"['life', 'brian']",MOVIE,"['brian', 'cohen', 'average', 'young', 'jewish', 'man', 'series', 'ridiculous', 'event', 'gain', 'reputation', 'messiah', 'he', 'dodging', 'follower', 'scolded', 'shrill', 'mother', 'hapless', 'contend', 'pompous', 'pontius', 'pilate', 'acronymobsessed', 'member', 'separatist', 'movement', 'rife', 'monty', 'python', 'signature', 'absurdity', 'tale', 'find', 'brians', 'life', 'paralleling', 'biblical', 'lore', 'albeit', 'many', 'laugh']",OLD,4.0,94,['comedy'],['GB'],,tt0079470,8.0,395024.0,17.77,7.8,"['graham chapman', 'john cleese', 'terry gilliam', 'eric idle', 'terry jones', 'michael palin', 'terence bayler', 'carol cleveland', 'kenneth colley', 'neil innes', 'charles mckeown', 'john young', 'gwen taylor', 'sue jonesdavies', 'peter brett', 'john case', 'chris langham', 'andrew maclachlan', 'bernard mckenna', 'spike milligan', 'george harrison']","['wise man 2  brian cohen  biggus dickus', 'wise man 1  reg  jewish official  first centurion  deadly dirk  arthur', 'man even further forward  revolutionary  jailer  blood and thunder prophet  frank  audience member  crucifee', 'mr cheeky  stan loretta  harry the haggler  culprit woman  warris  intensely dull youth  jailers assistant  otto  lead singer crucifee', 'mandy cohen  colin  simon the holy man  bob hoskins  saintly passerby  alarmed crucifixion assistant', 'wise man 3  mr big nose  francis  mrs a  exleper  announcer  ben  pontius pilate  boring prophet  eddie  shoe follower  nisus wettus', 'gregory', 'mrs gregory', 'jesus', 'a weedy samaritan', 'false prophet  blind man  giggling guard  stig', 'matthias son of deuteronomy of gath', 'mrs big nose', 'judith iscariot', 'nan', 'pilates wife', 'alfonso  giggling guard', 'another official stoners helper  giggling guard', 'parvus  official stoners helper  giggling guard', 'spike', 'mr papadopolous uncredited']",['terry jones']
tm14873,"['dirty', 'harry']",MOVIE,"['madman', 'dubbed', 'scorpio', 'terrorizes', 'san', 'francisco', 'hardnosed', 'cop', 'harry', 'callahan', 'famous', 'takenoprisoners', 'approach', 'law', 'enforcement', 'tasked', 'hunting', 'psychopath', 'eventually', 'collar', 'process', 'rescuing', 'kidnap', 'victim', 'see', 'walk', 'technicality', 'maverick', 'detective', 'determined', 'nail', 'maniac']",OLD,4.0,102,"['thriller', 'action', 'crime']",['US'],,tt0066999,7.7,155051.0,12.817,7.5,"['clint eastwood', 'harry guardino', 'reni santoni', 'john vernon', 'andrew robinson', 'john larch', 'john mitchum', 'mae mercer', 'lyn edgington', 'ruth kobart', 'woodrow parfrey', 'josef sommer', 'william paterson', 'james nolan', 'maurice argent', 'jo de winter', 'craig kelly', 'albert popwell', 'joy carlin', 'bill couch', 'diana davidson', 'vince deadrick sr', 'chuck dorsett', 'al dunlap', 'larry duran', 'george fargo', 'lois foraker', 'max gail', 'john garber', 'christopher pray', 'eddie garrett', 'james w gavin', 'david gilliam', 'don haggerty', 'scott hale', 'kate harper', 'bob harris', 'chuck hicks', 'raymond johnson', 'richard lawson', 'laurie mock', 'ann noland', 'kathleen omalley', 'angela paton', 'victor paul', 'debralee scott', 'don siegel', 'kristoffer tabori', 'tony dario', 'marc hertsens', 'gordon chapli', 'janet wisely', 'pamela tanimura', 'richard samuelson', 'derek jue', 'sean maley', 'diane darnell']","['harry', 'bressler', 'chico', 'the mayor', 'killer', 'chief', 'de georgio', 'mrs russell', 'norma', 'bus driver', 'mr jaffe', 'rothko', 'bannerman', 'liquor proprietor', 'sid kleinman', 'miss willis', 'sgt reineke', 'bank robber uncredited', 'communications secretary uncredited', 'suicide jumper uncredited', 'swimmer uncredited', 'pedestrian uncredited', 'tv watcher uncredited', 'man in jaffes cafe uncredited', 'uncredited', 'homicide detective uncredited', 'hot mary uncredited', 'tunnel hoodlum uncredited', 'tunnel hoodlum uncredited', 'tunnel hoodlum uncredited', 'policeman uncredited', 'helicopter pilot uncredited', 'homosexual uncredited', 'minor role uncredited', 'newsman uncredited', 'underwear chick uncredited', 'man in truck uncredited', 'flower vendor uncredited', 'big black man uncredited', 'homosexual uncredited', 'third nude uncredited', 'hippie girl uncredited', 'lady in jaffes cafe uncredited', 'homicide detective uncredited', 'car driver uncredited', 'ann mary deacon uncredited', 'pedestrian passing harrys car uncredited', 'hippie guy uncredited', 'police sergeant uncredited', 'steve  doctor uncredited', 'fireman uncredited', 'first nude uncredited', 'bus kid uncredited', 'bus kid uncredited', 'bus kid uncredited', 'bus kid uncredited', 'mayors secretary uncredited']",['don siegel']
tm119281,"['bonnie', 'clyde']",MOVIE,"['1930s', 'bored', 'waitress', 'bonnie', 'parker', 'fall', 'love', 'excon', 'named', 'clyde', 'barrow', 'together', 'start', 'violent', 'crime', 'spree', 'country', 'stealing', 'car', 'robbing', 'bank']",OLD,4.0,110,"['crime', 'drama', 'action']",['US'],,tt0061418,7.7,112048.0,15.687,7.5,"['warren beatty', 'faye dunaway', 'michael j pollard', 'gene hackman', 'estelle parsons', 'denver pyle', 'dub taylor', 'evans evans', 'gene wilder', 'mabel cavitt', 'patrick cranshaw', 'owen bush', 'clyde howdy', 'russ marker', 'ann palmer', 'ken mayer']","['clyde barrow', 'bonnie parker', 'c w moss', 'buck barrow', 'blanche', 'frank hamer', 'ivan moss', 'velma davis', 'eugene grizzard', 'bonnies mother uncredited', 'bank teller uncredited', 'policeman uncredited', 'deputy uncredited', 'bank guard uncredited', 'bonnies sister uncredited', 'sheriff smoot uncredited']",['arthur penn']
tm98978,"['blue', 'lagoon']",MOVIE,"['two', 'small', 'child', 'ship', 'cook', 'survive', 'shipwreck', 'find', 'safety', 'idyllic', 'tropical', 'island', 'soon', 'however', 'dy', 'young', 'boy', 'girl', 'left', 'day', 'become', 'year', 'emmeline', 'richard', 'make', 'home', 'surrounded', 'exotic', 'creature', 'nature', 'beauty', 'ever', 'see', 'civilization']",OLD,4.0,104,"['romance', 'action', 'drama']",['US'],,tt0080453,5.8,69844.0,50.324,6.156,"['brooke shields', 'christopher atkins', 'leo mckern', 'william daniels', 'jeffrey kleiser', 'gus mercurio', 'elva josephson', 'glenn kohan', 'bradley pryce', 'chad timmerman', 'gert jacoby', 'alex hamilton', 'richard evanson']","['emmeline', 'richard', 'paddy button', 'arthur lestrange', 'lookout', 'officer', 'young emmeline', 'young richard', 'little paddy', 'infant paddy', 'sailor', 'sailor', 'sailor']",['randal kleiser']
tm44204,"['gun', 'navarone']",MOVIE,"['team', 'allied', 'saboteur', 'assigned', 'impossible', 'mission', 'infiltrate', 'impregnable', 'naziheld', 'island', 'destroy', 'two', 'enormous', 'longrange', 'field', 'gun', 'prevent', 'rescue', '2000', 'trapped', 'british', 'soldier']",OLD,2.5,158,"['action', 'drama', 'war']","['GB', 'US']",,tt0054953,7.5,50748.0,13.844,7.3,"['gregory peck', 'david niven', 'anthony quinn', 'stanley baker', 'anthony quayle', 'james darren', 'irene papas', 'gia scala', 'james robertson justice', 'richard harris', 'bryan forbes', 'allan cuthbertson', 'michael trubshawe', 'percy herbert', 'george mikell', 'walter gotell', 'tutte lemkow', 'albert lieven', 'norman wooland', 'kleo skouloudi', 'nicholas papakonstantinou', 'christopher rhodes', 'william hoehne jr']","['capt keith mallory', 'cpl james arthur miller', 'col andrea stavros', 'pvt butcher brown', 'maj roy franklin', 'pvt spyros pappadimos', 'maria pappadimos', 'anna', 'commodore jensen  prologue narrator', 'squadron leader howard barnsby raaf', 'cohn', 'maj baker', 'weaver', 'sgt grogan', 'ss hauptman sessler', 'muesel', 'nicolai', 'commandant', 'group captain', 'bride', 'patrol boat captain', 'german gunnery officer', 'german officer on navarone']",['j lee thompson']
tm67378,['professional'],MOVIE,"['arrogant', 'texas', 'millionaire', 'hire', 'four', 'adventurer', 'rescue', 'kidnapped', 'wife', 'notorious', 'mexican', 'bandit']",OLD,3.0,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16446.0,13.123,7.1,"['burt lancaster', 'lee marvin', 'robert ryan', 'woody strode', 'jack palance', 'claudia cardinale', 'ralph bellamy', 'joe de santis', 'rafael bertrand', 'jorge martnez de hoyos', 'marie gomez', 'jos chvez', 'carlos romero', 'vaughn taylor', 'elizabeth campbell', 'don carlos', 'leigh chapman', 'roberto contreras', 'dirk evans', 'darwin lamb', 'eddie little sky', 'john lopez', 'john mckee', 'philip l parslow', 'ron veto']","['dolworth', 'fardan', 'ehrengard', 'jake', 'jesus raza', 'maria', 'grant', 'ortega', 'fierro', 'padilla', 'chiquita', 'revolutionary', 'revolutionary', 'banker', 'mexican girl uncredited', 'bandit uncredited', 'lady uncredited', 'bandit uncredited', 'man at door uncredited', 'hooper uncredited', 'jakes prisoner uncredited', 'mexican servant uncredited', 'sheriff uncredited', 'deputy sheriff uncredited', 'mexican soldier uncredited']",['richard brooks']
tm69997,"['richard', 'pryor', 'live', 'concert']",MOVIE,"['richard', 'pryor', 'delivers', 'monologue', 'race', 'sex', 'family', 'favorite', 'targethimself', 'live', 'terrace', 'theatre', 'long', 'beach', 'california']",OLD,4.0,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0,4.718,7.5,"['richard pryor', 'jennifer lee pryor']","['himself', 'herself uncredited']",['jeff margolis']
tm16479,"['white', 'christmas']",MOVIE,"['two', 'talented', 'songanddance', 'men', 'team', 'war', 'become', 'one', 'hottest', 'act', 'show', 'business', 'time', 'befriend', 'romantically', 'involved', 'beautiful', 'haynes', 'sister', 'comprise']",OLD,3.0,115,"['romance', 'comedy']",['US'],,tt0047673,7.5,42488.0,8.915,7.2,"['bing crosby', 'danny kaye', 'rosemary clooney', 'veraellen', 'dean jagger', 'mary wickes', 'john brascia', 'anne whitfield', 'bea allen', 'frank baker', 'glen cargyle', 'george chakiris', 'barrie chase', 'lorinne crawford', 'franklyn farnum', 'bess flowers', 'gavin gordon', 'johnny grant', 'percy helton', 'i stanford jolley', 'sig ruman', 'grady sutton', 'herb vigran', 'robert crosson']","['bob wallace', 'phil davis', 'betty haynes', 'judy haynes', 'general waverly', 'emma allen', 'john', 'susan waverly', 'dancer uncredited', 'anniversary party guest uncredited', 'jeep driver uncredited', 'dancer uncredited', 'doris lenz uncredited', 'rita uncredited', 'club patron uncredited', 'club patron uncredited', 'general carlton uncredited', 'ed harrison uncredited', 'train conductor uncredited', 'station master uncredited', 'landlord uncredited', 'mr herring uncredited', 'novello uncredited', 'albert uncredited']",['michael curtiz']
tm135083,"['cairo', 'station']",MOVIE,"['qinawi', 'physically', 'challenged', 'peddler', 'make', 'living', 'selling', 'newspaper', 'central', 'cairo', 'train', 'station', 'obsessed', 'hanuma', 'attractive', 'young', 'woman', 'sell', 'drink', 'joke', 'possible', 'relationship', 'actually', 'love', 'abu', 'siri', 'strong', 'respected', 'porter', 'struggling', 'unionize', 'fellow', 'worker', 'combat', 'bos', 'exploitative', 'abusive', 'treatment']",OLD,3.0,77,"['drama', 'crime', 'comedy']",['EG'],,tt0051390,7.5,4471.0,5.546,7.3,"['farid shawqi', 'hind rostom', 'youssef chahine', 'hassan el baroudi', 'abdel aziz khalil', 'said khalil', 'abdel ghani nagdi', 'loutfi el hakim', 'abdel hamid bodaoha', 'f el demerdache', 'said el araby', 'ahmed abaza', 'hana abdel fattah', 'safia sarwat', 'asaad kellada', 'naima wasfy', 'sherine', 'soheir', 'esmat mahmoud', 'nawal morsi', 'gharib moawad', 'mohamed mazhar', 'galal issa', 'mahrous el garhi', 'ahmed el tantawi', 's abdel aziz', 'nadia lotfi', 'safia tharwat']","['abu siri', 'hanuma', 'qinawi', 'madbouli', 'abu gaber', 'jadallah', 'saidi traveller', 'nan', 'shawish hassanein', 'nan', 'nan', 'mansour', 'nan', 'nan', 'as assaad kellada', 'hallawatim', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'halawethom']",['youssef chahine']
tm89386,"['hitler', 'career']",MOVIE,"['keen', 'chronicle', 'unlikely', 'rise', 'power', 'adolf', 'hitler', '18891945', 'dissection', 'third', 'reich', '19331945', 'also', 'analysis', 'mass', 'psychology', 'desperate', 'crowd', 'deceived', 'shepherded', 'slaughterhouse']",OLD,2.0,150,"['history', 'documentation', 'european']",['DE'],,tt0191182,7.5,2460.0,4.305,7.3,['gert westphal'],['narrator voice'],['joachim fest']
tm156453,['fta'],MOVIE,"['documentary', 'political', 'troupe', 'headed', 'actor', 'jane', 'fonda', 'donald', 'sutherland', 'traveled', 'town', 'near', 'military', 'base', 'u', 'early', '1970s', 'group', 'put', 'show', 'called', 'fta', 'stood', 'fk', 'army', 'aimed', 'convincing', 'soldier', 'voice', 'opposition', 'vietnam', 'war', 'raging', 'time', 'various', 'singer', 'actor', 'entertainer', 'performed', 'antiwar', 'song', 'skit']",OLD,4.0,97,"['war', 'documentation', 'music', 'comedy']",['US'],,tt0068562,6.2,418.0,1.268,6.1,"['jane fonda', 'donald sutherland', 'pamela donegan', 'len chandler', 'michael alaimo', 'holly near', 'paul mooney', 'rita martinson', 'peter boyle', 'steve jaffe']","['herself', 'himself', 'herself', 'himself', 'himself', 'herself', 'himself', 'herself', 'himself', 'himself']",['francine parker']
tm14350,['alexandria'],MOVIE,"['set', 'panoramic', 'backdrop', 'wartorn', 'egypt', 'director', 'youssef', 'chahine', 'tell', 'highly', 'personal', 'tale', 'love', 'determination', 'amid', 'poverty', 'death', 'suffering', 'caused', 'world', 'war', 'ii', '18', 'yearold', 'yehia', 'retreat', 'private', 'fantasy', 'longing', 'obsessed', 'hollywood', 'dream', 'one', 'day', 'studying', 'filmmaking', 'america', 'falling', 'discovering', 'lie', 'european', 'occupation', 'profoundly', 'reevaluates', 'identity', 'allegiance']",OLD,3.0,133,['drama'],['EG'],,tt0077751,7.2,1727.0,1.37,6.0,"['farid shawqi', 'mahmoud elmeliguy', 'ezzat el alaili', 'youssef wahby', 'yehia chahine', 'leila fawzi', 'akela kateb', 'zeinab sedky', 'ahmad abdel waress', 'abdel azziz makhyoun', 'ahmed mehrez', 'abdel warith assir', 'aida kamel', 'oussaida abbass', 'zouzou hamdy elhakim', 'abdel salam mohamed', 'halima el soghayar', 'samira mohamed', 'abou hachich', 'gamil el traboulsi', 'ahmad zaki', 'ahmad bedir', 'naglaa fathy', 'abdullah mahmoud', 'mohsena tawfik', 'seif abdelrahman']","['mohsens father', 'qadry', 'shaker', 'souril', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'the sheikh', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'ibrahim', 'nan', 'nan', 'mohsen', 'yehyas mother', 'nan']",['youssef chahine']
tm81728,['land'],MOVIE,"['set', '1933', 'mayor', 'informs', 'peasant', 'share', 'irrigation', 'land', 'split', 'equally', 'feudal', 'lord', 'mahmoud', 'bey', 'peasant', 'send', 'muhammad', 'effendi', 'submit', 'petition', 'government', 'proposes', 'project', 'would', 'require', 'taking', 'part', 'peasant', 'land']",OLD,3.0,129,['drama'],['EG'],,tt0064038,8.1,1958.0,1.265,8.5,"['ezzat el alaili', 'mahmoud elmeliguy', 'hamdy ahmed', 'yehia chahine', 'tewfik el dekn', 'ali el sherif', 'salah elsaadany', 'nagwa ibrahim', 'abdel warith assir', 'fatma omara', 'ashraf alselehdar', 'hussein ismail', 'mahmoud al iraq', 'faiza abdelgawwad']","['abd elhadi', 'mohamed abu swelam', 'mohammad effendi', 'hassuna', 'khedr', 'diab', 'elwani', 'wasifa', 'el omda', 'khadra', 'mahmoud bik', 'shenawy', 'nan', 'nan']",['youssef chahine']
tm94651,['dostana'],MOVIE,"['two', 'close', 'friend', 'decide', 'enter', 'law', 'enforcement', 'one', 'police', 'officer', 'lawyer', 'friendship', 'begin', 'unravel', 'fall', 'love', 'woman']",OLD,2.5,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],,tt0080653,2.1,25.0,3.98,4.9,"['amitabh bachchan', 'shatrughan sinha', 'zeenat aman', 'prem chopra', 'amrish puri', 'helen', 'pran', 'gajanan jagirdar', 'sajjan', 'iftekhar', 'kn singh', 'trilok kapoor', 'abhimanyu sharma', 'goga kapoor', 'mac mohan', 'paintal', 'jagdish raj', 'ruby myers', 'yunus parvez']","['vijay varma', 'ravi kapoor', 'sheetal sahni', 'mr daaga', 'balwant singh', 'sylvia', 'tony', 'high school principal', 'ramnik lal tiwari', 'prosecuting lawyer', 'judge', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",['raj khosla']
tm27298,"['saladin', 'victorious']",MOVIE,"['saladin', 'first', 'sultan', 'egypt', 'syria', 'lead', 'muslim', 'military', 'campaign', 'invading', 'christian', 'europe', 'third', 'crusade']",OLD,2.5,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],,tt0057357,7.6,2508.0,4.156,7.1,"['ahmad mazhar', 'nadia lotfi', 'salah zulfikar', 'leila fawzi', 'hamdy ghaith', 'laila taher', 'omar elhariri', 'husain reyadh', 'mahmoud elmeliguy', 'zaki toleimat', 'tewfik el dekn', 'mohamed hamdy', 'mohamed sultan', 'mohamed abdel gawad', 'sami loutfi', 'ibrahim emara', 'ahmed louxor', 'salah nazmi']","['saladin', 'louisa de lusignan', 'issa the swimmer', 'virginia princess of kerak', 'king richard', 'queen berengaria', 'king philip of france', 'nan', 'conrad marquis of montferrat', 'duke arthur', 'prince of akka', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",['youssef chahine']
tm100027,"['alibaba', 'aur', '40', 'chor']",MOVIE,"['movie', 'based', 'story', 'ali', 'baba', 'forty', 'thief', 'one', 'thousand', 'night', 'arabian', 'tale', 'role', 'played', 'dharmendra', 'hema', 'malini', 'play', 'morjina']",OLD,2.5,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",,tt0079749,6.2,565.0,2.582,6.8,"['dharmendra', 'hema malini', 'zeenat aman', 'prem chopra', 'zakir mukhamedzhanov', 'sofiko chiaureli', 'yelena sanayeva', 'frunzik mkrtchyan', 'mayagozel aimedova']","['ali baba', 'morjina', 'fatima', 'shamsher', 'nan', 'nan', 'nan', 'nan', 'episode uncredited']","['umesh mehra', 'latif faiziyev']"
tm19608,"['blazing', 'sun']",MOVIE,"['rich', 'landlord', 'flood', 'destroys', 'village', 'purpose', 'prevent', 'people', 'living', 'making', 'profit', 'crop', 'doesnt', 'know', 'daughter', 'love', 'ahmed', 'young', 'man']",OLD,3.0,100,"['crime', 'romance', 'drama']",['EG'],,tt0047500,7.4,1219.0,2.184,7.0,"['faten hamamah', 'omar sharif', 'zaki rostom', 'farid shawqi', 'abdel warith assir', 'ahmad abdel waress', 'hamdy ghaith', 'abdel ghani kamar', 'zaki ibrahim']","['amal', 'ahmed', 'taher pasha', 'reyadh', 'sabir', 'nan', 'selim', 'hassan', 'lawyer']",['youssef chahine']
tm204541,"['dark', 'water']",MOVIE,"['ragab', 'poor', 'sailor', 'return', 'home', 'alexandria', 'three', 'year', 'absence', 'tried', 'save', 'money', 'marry', 'one', 'true', 'love', 'hamedah', 'there', 'trouble', 'harbor', 'old', 'friend']",OLD,2.5,120,"['action', 'drama', 'romance', 'thriller']",['EG'],,tt0049761,6.7,610.0,0.849,5.9,"['omar sharif', 'faten hamamah', 'ahmed ramzy', 'tewfik el dekn', 'ferdoos mohammed', 'husain reyadh']","['ragab', 'hamedah', 'mamdouh', 'ezzat', 'ragabs mother', 'mamdouhs father']",['youssef chahine']
